# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       402      201.000      2536.10      0.18070551   -234.50006951   -234.31936400
       403      201.500      1882.19      0.13411210   -234.49443423   -234.36032213
       404      202.000      1663.16      0.11850569   -234.49497211   -234.37646642
       405      202.500      1955.25      0.13931785   -234.50248178   -234.36316393
       406      203.000      1750.58      0.12473463   -234.50285980   -234.37812517
       407      203.500      2017.46      0.14375062   -234.50508158   -234.36133096
       408      204.000      2357.86      0.16800542   -234.50233675   -234.33433133
       409      204.500      1643.48      0.11710322   -234.50109564   -234.38399242
       410      205.000      1788.21      0.12741549   -234.50197424   -234.37455875
       411      205.500      2072.05      0.14764051   -234.50268790   -234.35504739
       412      206.000      2986.21      0.21277741   -234.50273854   -234.28996112
       413      206.500      1888.24      0.13454307   -234.50221866   -234.36767559
       414      207.000      2004.61      0.14283525   -234.50190676   -234.35907151
       415      207.500      1712.14      0.12199587   -234.50254482   -234.38054895
       416      208.000      2402.84      0.17121020   -234.50335930   -234.33214910
       417      208.500      2352.05      0.16759088   -234.50327587   -234.33568499
       418      209.000      1952.58      0.13912762   -234.50337925   -234.36425164
